            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2463069.500000000, A.D. 2031-Jul-22 00:00:00.0000, -1.342267873615015E-01, -1.460330311592577E+00, -2.731358664703371E-02,  1.446271125838840E-02, -7.810878167167989E-05, -3.561417019476509E-04,  8.471186226001863E-03,  1.466740427416177E+00, -1.239136186653498E-03,
2463070.500000000, A.D. 2031-Jul-23 00:00:00.0000, -1.197580032735550E-01, -1.460339890771103E+00, -2.766844082304814E-02,  1.447463548162421E-02,  5.900839070356884E-05, -3.535600019317884E-04,  8.464041560604763E-03,  1.465503366950415E+00, -1.234963587973035E-03,
2463071.500000000, A.D. 2031-Jul-24 00:00:00.0000, -1.052779605706765E-01, -1.460212180938830E+00, -2.802069337557376E-02,  1.448522719440369E-02,  1.964670767326830E-04, -3.509384821150640E-04,  8.456921360328950E-03,  1.464270542489093E+00, -1.230664145823733E-03,
2463072.500000000, A.D. 2031-Jul-25 00:00:00.0000, -9.078799571308190E-02, -1.459946847100875E+00, -2.837030452545233E-02,  1.449447850325129E-02,  3.342542325065148E-04, -3.482772175359868E-04,  8.449826358336007E-03,  1.463042080975202E+00, -1.226237684959781E-03,
2463073.500000000, A.D. 2031-Jul-26 00:00:00.0000, -7.628945298553444E-02, -1.459543567391927E+00, -2.871723457668498E-02,  1.450238164320302E-02,  4.723566324885827E-04, -3.455762950867847E-04,  8.442757288745679E-03,  1.461818109517636E+00, -1.221684038426768E-03,
2463074.500000000, A.D. 2031-Jul-27 00:00:00.0000, -6.178368437730916E-02, -1.459002033247587E+00, -2.906144392299699E-02,  1.450892897942197E-02,  6.107608782016965E-04, -3.428358123385869E-04,  8.435714886533902E-03,  1.460598755373534E+00, -1.217003055470969E-03,
2463075.500000000, A.D. 2031-Jul-28 00:00:00.0000, -4.727204945754839E-02, -1.458321949575135E+00, -2.940289305487158E-02,  1.451411300278516E-02,  7.494534083133810E-04, -3.400558733372398E-04,  8.428699887428621E-03,  1.459384145930239E+00, -1.212194610777657E-03,
2463076.500000000, A.D. 2031-Jul-29 00:00:00.0000, -3.275591524716655E-02, -1.457503034924756E+00, -2.974154256657128E-02,  1.451792633018139E-02,  8.884205022402350E-04, -3.372365867836131E-04,  8.421713027810231E-03,  1.458174408688067E+00, -1.207258607715905E-03,
2463077.500000000, A.D. 2031-Jul-30 00:00:00.0000, -1.823665608820692E-02, -1.456545021660526E+00, -3.007735316270716E-02,  1.452036170830857E-02,  1.027648275254741E-03, -3.343780662443696E-04,  8.414755044613028E-03,  1.456969671243234E+00, -1.202194973220141E-03,
2463078.500000000, A.D. 2031-Jul-31 00:00:00.0000, -3.715653510034373E-03, -1.455447656129894E+00, -3.041028566456556E-02,  1.452141201530933E-02,  1.167122668567393E-03, -3.314804297102102E-04,  8.407826675220356E-03,  1.455770061269708E+00, -1.197003647559748E-03,
2463079.500000000, A.D. 2031-Aug-01 00:00:00.0000,  1.080570390905859E-02, -1.454210698831845E+00, -3.074030101683323E-02,  1.452107026389835E-02,  1.306829442557395E-03, -3.285437998477064E-04,  8.400928657354867E-03,  1.454575706500207E+00, -1.191684577262201E-03,
2463080.500000000, A.D. 2031-Aug-02 00:00:00.0000,  2.532602068525514E-02, -1.452833924584913E+00, -3.106736029496511E-02,  1.451932961240933E-02,  1.446754181225472E-03, -3.255683074420311E-04,  8.394061728971556E-03,  1.453386734707679E+00, -1.186237719004885E-03,
2463081.500000000, A.D. 2031-Aug-03 00:00:00.0000,  3.984389457654258E-02, -1.451317122695126E+00, -3.139142471271675E-02,  1.451618337737545E-02,  1.586882304730169E-03, -3.225540950075550E-04,  8.387226628154750E-03,  1.452203273687461E+00, -1.180663051028686E-03,
2463082.500000000, A.D. 2031-Aug-04 00:00:00.0000,  5.435791673290871E-02, -1.449660097122482E+00, -3.171245562928549E-02,  1.451162503722970E-02,  1.727199076215094E-03, -3.195013163820095E-04,  8.380424093011291E-03,  1.451025451238793E+00, -1.174960578650162E-03,
2463083.500000000, A.D. 2031-Aug-05 00:00:00.0000,  6.886667184990278E-02, -1.447862666644959E+00, -3.203041455622004E-02,  1.450564822785627E-02,  1.867689600093334E-03, -3.164101329750850E-04,  8.373654861554308E-03,  1.449853395144688E+00, -1.169130331608562E-03,
2463084.500000000, A.D. 2031-Aug-06 00:00:00.0000,  8.336873832673794E-02, -1.445924665020746E+00, -3.234526316465487E-02,  1.449824673761677E-02,  2.008338820746760E-03, -3.132807098326444E-04,  8.366919671582419E-03,  1.448687233151013E+00, -1.163172362265142E-03,
2463085.500000000, A.D. 2031-Aug-07 00:00:00.0000,  9.786268842888346E-02, -1.443845941150083E+00, -3.265696329290869E-02,  1.448941450818969E-02,  2.149131523307796E-03, -3.101132142672352E-04,  8.360219260563148E-03,  1.447527092946316E+00, -1.157086745871976E-03,
2463086.500000000, A.D. 2031-Aug-08 00:00:00.0000,  1.123470884540276E-01, -1.441626359236949E+00, -3.296547695396632E-02,  1.447914564363328E-02,  2.290052329963573E-03, -3.069078184989633E-04,  8.353554365522122E-03,  1.446373102142625E+00, -1.150873575746018E-03,
2463087.500000000, A.D. 2031-Aug-09 00:00:00.0000,  1.268204989011454E-01, -1.439265798949229E+00, -3.327076634266592E-02,  1.446743442425388E-02,  2.431085693903688E-03, -3.036647047768419E-04,  8.346925722930318E-03,  1.445225388255938E+00, -1.144532955239488E-03,
2463088.500000000, A.D. 2031-Aug-10 00:00:00.0000,  1.412814746438462E-01, -1.436764155576107E+00, -3.357279384306758E-02,  1.445427531589439E-02,  2.572215902771368E-03, -3.003840680437671E-04,  8.340334068583095E-03,  1.444084078685273E+00, -1.138064999008300E-03,
2463089.500000000, A.D. 2031-Aug-11 00:00:00.0000,  1.557285651088346E-01, -1.434121340183034E+00, -3.387152203637944E-02,  1.443966296957966E-02,  2.713427092042111E-03, -2.970661135341445E-04,  8.333780137474368E-03,  1.442949300690880E+00, -1.131469844871215E-03,
2463090.500000000, A.D. 2031-Aug-12 00:00:00.0000,  1.701603144586647E-01, -1.431337279765511E+00, -3.416691370912797E-02,  1.442359221933191E-02,  2.854703255642108E-03, -2.937110534571120E-04,  8.327264663673463E-03,  1.441821181372923E+00, -1.124747663257643E-03,
2463091.500000000, A.D. 2031-Aug-13 00:00:00.0000,  1.845752617774320E-01, -1.428411917401781E+00, -3.445893186096911E-02,  1.440605808465585E-02,  2.996028246720323E-03, -2.903191062433240E-04,  8.320788380204882E-03,  1.440699847650662E+00, -1.117898656446570E-03,
2463092.500000000, A.D. 2031-Aug-14 00:00:00.0000,  1.989719412592974E-01, -1.425345212403128E+00, -3.474753971204027E-02,  1.438705577297991E-02,  3.137385770992801E-03, -2.868904962182485E-04,  8.314352018923570E-03,  1.439585426240850E+00, -1.110923050434363E-03,
